field	value	known_to_og_impkimmo
aform	ABS	YES
aform	COMP	YES
aform	SUPER	YES
agr	$1[ 3sg:   +	NO
agr	$1[ 3sg:   -	NO
agr	$2[ 3sg:   +	NO
agr	$2[ 3sg:   -	NO
agr	$3[ 3sg:   +	NO
agr	$3[ 3sg:   -	NO
agr	$4[ 3sg:   +	NO
agr	$4[ 3sg:   -	NO
agr	$5[ 3sg:   +	NO
case	ACC	YES
case	GEN	YES
case	IND	YES
case	NOM	YES
cat	Word	NO
cform	+be	YES
cform	+GEN	YES
cform	+have	YES
cform	+will+have	YES
cform	+will	YES
cform	+would+have	YES
cform	+would	YES
clitic	-	YES
drvstem	+	NO
drvstem	-	NO
finite	+	YES
finite	-	YES
modal	+	YES
modal	-	YES
neg	+	YES
neg	-	YES
number	PL	YES
number	SG	YES
person	1	YES
person	2	YES
person	3	YES
pos	AJ	YES
pos	AUX	YES
pos	AV	YES
pos	CJ	YES
pos	DT	YES
pos	IJ	YES
pos	INF	YES
pos	N	YES
pos	PP	YES
pos	PR	YES
pos	V	YES
proper	+	YES
proper	-	YES
reflex	+	YES
reflex	-	YES
root	`aardvark	NO
root	a`back	NO
root	`abacus	NO
root	a`baft	NO
root	`abalone	NO
root	a`bandon	NO
root	a`base	NO
root	a`bash	NO
root	a`bate	NO
root	ab`be	NO
root	`abbey	NO
root	`abbot	NO
root	ab`breviate	NO
root	abc	NO
root	`abdicate	NO
root	`abdomen	NO
root	ab`duct	NO
root	a`beam	NO
root	a`berrant	NO
root	`aberrate	NO
root	a`bet	NO
root	a`beyance	NO
root	a`beyant	NO
root	ab`hor	NO
root	a`bide	NO
root	`Abidjan	NO
root	`abject	NO
root	ab`jure	NO
root	ab`late	NO
root	`ablative	NO
root	`able	NO
root	ab`lution	NO
root	a`board	NO
root	a`bode	NO
root	a`bolish	NO
root	`a-bomb	NO
root	a`bominable	NO
root	a`bominate	NO
root	abo`rigine	NO
root	a`borning	NO
root	a`bort	NO
root	a`bound	NO
root	a`bout	NO
root	a`boveboard	NO
root	a`boveground	NO
root	a`bove	NO
root	a`brade	NO
root	abre`act	NO
root	a`breast	NO
root	a`bridge	NO
root	a`broad	NO
root	`abrogate	NO
root	a`brupt	NO
root	`abscess	NO
root	ab`scissa	NO
root	ab`scond	NO
root	`absent	NO
root	`absinthe	NO
root	`absolute	NO
root	abso`lute	NO
root	ab`solve	NO
root	ab`sorb	NO
root	ab`stain	NO
root	ab`stemious	NO
root	`abstract	NO
root	ab`stract	NO
root	ab`struse	NO
root	ab`surd	NO
root	a`buse	NO
root	a`but	NO
root	a`byss	NO
root	`academe	NO
root	a`canthus	NO
root	ac`cede	NO
root	ac`celerate	NO
root	acceler`ometer	NO
root	`accent	NO
root	ac`cent	NO
root	ac`cept	NO
root	`access	NO
root	ac`cessory	NO
root	`accident	NO
root	`accidie	NO
root	ac`cipiter	NO
root	ac`claim	NO
root	`acclimate	NO
root	ac`climatise	NO
root	ac`climatize	NO
root	`accolade	NO
root	ac`commodate	NO
root	ac`company	NO
root	ac`complice	NO
root	ac`complish	NO
root	ac`cordion	NO
root	ac`cord	NO
root	ac`cost	NO
root	ac`count	NO
root	ac`credit	NO
root	ac`crete	NO
root	ac`crue	NO
root	ac`culturate	NO
root	ac`cumulate	NO
root	`accurate	NO
root	ac`curst	NO
root	ac`cusative	NO
root	ac`cuse	NO
root	ac`custom	NO
root	a`cedia	NO
root	`ace	NO
root	a`cerbic	NO
root	`acetate	NO
root	a`cetic	NO
root	`acetone	NO
root	a`cetylene	NO
root	`ache	NO
root	a`chieve	NO
root	A`chilles	NO
root	achro`matic	NO
root	`acid	NO
root	a`cidulous	NO
root	ac`knowledge	NO
root	`acme	NO
root	`acne	NO
root	`acolyte	NO
root	`acorn	NO
root	a`coustic	NO
root	ac`quaint	NO
root	ac`quiesce	NO
root	acqui`esce	NO
root	ac`quire	NO
root	ac`quit	NO
root	`acre	NO
root	`acrid	NO
root	`acrimony	NO
root	`acrobat	NO
root	`acronym	NO
root	a`cropolis	NO
root	ac`ross	NO
root	a`crostic	NO
root	`acrylate	NO
root	a`crylic	NO
root	ac`tinic	NO
root	`actinide	NO
root	ac`tinium	NO
root	acti`nometer	NO
root	`action	NO
root	`active	NO
root	`act	NO
root	`actual	NO
root	`actuary	NO
root	`actuate	NO
root	a`cuity	NO
root	`acumen	NO
root	`acupuncture	NO
root	a`cute	NO
root	`adage	NO
root	a`dagio	NO
root	`adamant	NO
root	`Ada	NO
root	a`dapt	NO
root	`addend	NO
root	ad`dendum	NO
root	`addict	NO
root	ad`dict	NO
root	`addle	NO
root	`add	NO
root	`address	NO
root	ad`dress	NO
root	ad`duce	NO
root	ade`noma	NO
root	a`dept	NO
root	`adequate	NO
root	ad`here	NO
root	ad-hoc	NO
root	ad-hominem	NO
root	adia`batic	NO
root	a`dieu	NO
root	ad-infinitum	NO
root	ad-interim	NO
root	adi`os	NO
root	Adi`rondack	NO
root	ad`jacent	NO
root	`adjective	NO
root	ad`join	NO
root	ad`joint	NO
root	ad`journ	NO
root	ad`judge	NO
root	ad`judicate	NO
root	`adjunct	NO
root	ad`jure	NO
root	ad`just	NO
root	ad`jutant	NO
root	ad`minister	NO
root	ad`ministrate	NO
root	`admiral	NO
